Title,Genre(s),Developer(s),Publisher(s)
Aaero,Shooter,Mad Fellows Games,Reverb Triple XP
Aaru's Awakening,Platform,Lumenox Games,Lumenox Games
Abo Khashem,Role-playing,Moving Dimensions,Moving Dimensions
Absolver,Action,Sloclap,Devolver Digital
Achtung! Cthulhu Tactics,Turn-based strategy,Auroch Digital,Ripstone
Action Henk,Platform,RageSquid,Curve Digital
The Ascent,Action role-playing,Neon Giant,Curve Digital
Assassin's Creed Valhalla,Action role-playing,Ubisoft Montreal,Ubisoft
Assetto Corsa,Racing,Kunos Simulazioni,505 Games
Astroneer,"Simulation, Survival",System Era Softworks,System Era Softworks
Axiom Verge,Metroidvania,Thomas Happ Games,Thomas Happ Games
The Banner Saga,Tactical role-playing,Stoic Studio,Versus Evil
Battalion 1944,First-person shooter,Bulkhead Interactive,Square Enix Collective
Battlefield 1,First-person shooter,DICE,Electronic Arts
Battlefield 4,First-person shooter,EA Digital Illusions CE,Electronic Arts
Battlefield V,First-person shooter,EA DICE,Electronic Arts
Battlefield Hardline,First-person shooter,Visceral Games,Electronic Arts
Battlerite,Multiplayer online battle arena,Stunlock Studios,Stunlock Studios
Battletoads,Beat 'em up,RareDlala Studios,Xbox Game Studios
Battle Garegga Rev.2016,Arcadeshoot 'em up,M2,M2
Bayonetta,Actionhack and slash,PlatinumGames,Sega
Beach Buggy Racing,Racing,Vector Unit,Vector Unit
Beast Quest,Action-adventure,Torus Games,Maximum Games
Ben 10,Action-adventure,Outright Games,Bandai Namco Entertainment
Bendy and the Ink Machine,Horror,Joey Drew Studios,Rooster Teeth Games
Big Buck Hunter Arcade,"Arcade, Shooter",GameMill Entertainment,GameMill Entertainment
Biomutant,Action role-playing,Experiment 101,THQ Nordic
Black Desert Online,Massively multiplayer online role-playing game,Pearl Abyss,Pearl Abyss
Black the Fall,Puzzle-platform,Sand Sailor Studio,Square Enix
Blackguards 2,Turn-based tactical role-playing,Daedalic Entertainment,Kalypso Media
Blackwood Crossing,Adventure,PaperSeven,Vision Games Publishing
Blair Witch,Horror,Bloober Team,Bloober Team
Blaster Master Zero,Platform,Inti Creates,Inti Creates
Blaster Master Zero 2,Platform,Inti Creates,Inti Creates
BlazBlue Chrono Phantasma Extend,Fighting,Arc System Works,JP: Arc System WorksWW: Aksys Games
Bloons TD 5,Strategypuzzle,Ninja Kiwi,Ninja Kiwi
Blues and Bullets,Action-adventure,A Crowd of Monsters,A Crowd of Monsters
Bokosuka Wars II,Strategy,Pygmy Studio,Pygmy Studio
Book of Demons,Action role-playinghack and slash,Thing Trunk,Thing Trunk
The Book of Unwritten Tales 2,Adventure,King Art,Nordic Games
Borderlands 3,Action role-playingfirst-person shooter,Gearbox Software,2K Games
Boy and His Blob,"Platform, puzzle",Abstraction Games,Majesco Entertainment
Bus Simulator 18,Simulation,Stillalive Studios,Astragon
Bus Simulator 21,Simulation,Stillalive Studios,Astragon
Bush Hockey League,Sports,V7 Entertainment,V7 Entertainment
Call of Duty Advanced Warfare,First-person shooter,Sledgehammer Games,Activision
Call of Duty Black Ops III,First-person shooter,Treyarch,Activision
Call of Duty Black Ops IIII,First-person shooter,Treyarch,Activision
Call of Duty Black Ops Cold War,First-person shooter,TreyarchRaven Software,Activision
Call of Duty Ghosts,First-person shooter,Infinity Ward,JP: Square EnixWW: Activision
Call of Duty Infinite Warfare,First-person shooter,Infinity Ward,Activision
Call of Duty Modern Warfare Remastered,First-person shooter,Infinity Ward,Activision
Call of Duty Vanguard,First-person shooter,Sledgehammer Games,Activision
Call of Duty Warzone,First-person shooter,Infinity WardRaven Software,Activision
Call of Duty WWII,First-person shooter,Sledgehammer GamesRaven Software,Activision
Car Mechanic Simulator 2018,Simulation,PlayWay,Red Dot Games
Casey Powell Lacrosse 16,Sports,Big Ant Studios,Big Ant Studios
Contra Anniversary Collection,Classics collection,Konami,Konami
Crash Bandicoot 4,Platform,Toys for Bob,Activision
Cricket 19,Sports,Big Ant Studios,Big Ant Studios
Cricket 22,Sports,Big Ant Studios,Nacon
Crimson Dragon,Rail shooter,Grounding,Xbox Game Studios
Cris Tales,Japanese role-playing,Dreams UncorporatedSYCK,Modus Games
CrossCode,Action role-playing,Radical Fish Games,Deck13
CrossfireX,First-person shooter,Smilegate,Xbox Game Studios
Dakar 18,Racing,Bigmoon Entertainment,Deep Silver
Dark Souls Remastered,"Action role-playing, hack and slash",From Software,Bandai Namco Entertainment
Dark Souls III,"Action role-playing, hack and slash",From Software,Bandai Namco Entertainment
Darkest Dungeon,Turn-based strategy,Red Hook Studios,Red Hook Studios
Darkwood,Survival horror,Acid Wizard Studio,Crunching Koalas
De Blob,"Platform, Puzzle",BlitWorks,THQ Nordic
De Blob 2,"Platform, Puzzle",BlitWorks,THQ Nordic
Dead by Daylight,Asymmetrical multiplayer horror,Behavior Interactive,Starbreeze Studios
Dead Effect 2,Shooter,BadFly Interactive,BadFly Interactive
Dead or Alive 5,Fighting,Team Ninja,Koei Tecmo
Dead or Alive 6,Fighting,Koei Tecmo,Koei Tecmo
Dead Rising 2,Survival horror,Capcom,Capcom
Dead Rising 3,Survival horror,Capcom Vancouver,Xbox Game Studios
Death Squared,Puzzle,SMG Studios,SMG Studios
Devil May Cry 4,Hack and slashaction,Capcom,Capcom
Devil May Cry 5,Hack and slashaction,Capcom,Capcom
Diablo II,"Action role-playing, hack and slash",Vicarious Visions,Blizzard Entertainment
Diablo III,"Action role-playing, dungeon crawl, hack and slash",Blizzard Entertainment,Blizzard Entertainment
Digimon Survive,Visual novelRole-playing,Witchcraft,Bandai Namco Entertainment
Dirt 4,Racing,Codemasters,Codemasters
Dirt 5,Racing,Codemasters,Codemasters
Dirt Rally,Racing,Codemasters,Codemasters
Dirt Rally 2.0,Racing,Codemasters,Codemasters
Disney Infinity Marvel Super Heroes,Action-adventure,Avalanche Software,Disney Interactive Studios
Disney Infinity 3.0,Action-adventure,Avalanche Software,Disney Interactive Studios
Disneyland Adventures Remastered,"Open World, Adventure",Asobo Studio,Xbox Game Studios
Don Bradman Cricket 14,Sports,Big Ant Studios,Home Entertainment Suppliers
Donut County,Physics puzzler,Ben Esposito,Annapurna Interactive
Doug Flutie's Maximum Football 2019,Sports,Canuck Play,Canuck Play
